vp,month,1,2,3,4,5,6,7,8,9,10,11,12
182,4,0,1,3,2.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0
182,5,1,1,3,2.0,1.0,0.0,1.0,2.0,2.0,2.0,,
182,6,0,0,0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,2.0,3.0
182,7,1,1,2,3.0,0.0,1.0,,,,,,
182,8,0,0,0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,3.0,3.0
182,9,1,1,0,0.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,
182,10,3,2,3,2.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0
182,11,1,2,2,2.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0
182,12,0,0,1,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,
188,1,2,3,3,3.0,3.0,0.0,,,,,,
188,2,3,3,0,2.0,,,,,,,,
188,3,1,0,2,0.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,
188,4,0,0,0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,,
188,5,1,1,1,3.0,3.0,1.0,3.0,3.0,0.0,2.0,,
188,6,1,1,1,2.0,2.0,0.0,2.0,3.0,3.0,1.0,,
188,7,2,1,0,1.0,3.0,2.0,2.0,,,,,
188,8,1,1,1,2.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,
188,9,1,1,1,0.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,
188,10,1,1,1,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,
188,11,2,2,3,3.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,
188,12,0,0,1,1.0,1.0,3.0,3.0,3.0,2.0,,,
198,1,0,0,3,2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,2.0
198,2,0,3,3,0.0,0.0,3.0,3.0,0.0,0.0,,,
198,3,1,1,2,1.0,3.0,0.0,1.0,3.0,2.0,3.0,,
198,4,1,1,3,1.0,3.0,1.0,0.0,2.0,3.0,2.0,3.0,
198,5,1,1,2,2.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,
198,6,1,3,3,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0
198,7,1,1,2,2.0,1.0,2.0,2.0,2.0,,,,
198,8,1,0,0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0
198,9,1,0,2,3.0,1.0,0.0,3.0,1.0,3.0,3.0,2.0,
198,10,1,3,2,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0
198,11,1,2,1,1.0,0.0,1.0,2.0,2.0,3.0,2.0,3.0,
198,12,0,1,0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,
202,1,3,3,2,2.0,1.0,1.0,0.0,0.0,2.0,2.0,,
202,2,0,0,3,2.0,0.0,,,,,,,
202,3,3,3,2,1.0,0.0,0.0,1.0,3.0,2.0,1.0,,
202,4,1,1,3,0.0,2.0,0.0,2.0,3.0,1.0,3.0,3.0,
202,5,1,1,1,3.0,3.0,2.0,0.0,1.0,2.0,2.0,3.0,
202,6,3,2,0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,
202,7,0,0,0,1.0,3.0,3.0,,,,,,
202,8,1,1,0,3.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,
202,9,0,1,1,2.0,2.0,3.0,1.0,0.0,3.0,2.0,3.0,
202,10,1,1,0,3.0,3.0,2.0,0.0,3.0,2.0,1.0,3.0,
202,11,1,1,0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,2.0,2.0
202,12,1,1,1,0.0,0.0,3.0,2.0,3.0,3.0,,,
203,1,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0
203,2,0,0,0,0.0,0.0,3.0,3.0,3.0,0.0,,,
203,3,2,2,2,2.0,1.0,1.0,3.0,3.0,0.0,0.0,,
203,4,2,2,3,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
203,5,1,1,2,2.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,
203,6,0,0,0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,
203,7,2,2,2,2.0,0.0,0.0,0.0,0.0,,,,
